2024-10-07 11:21:33.933 ERROR json_response.py json_response - response_exception:{'message': "'access_token'"}
2024-10-07 11:51:45.185 ERROR json_response.py json_response - response_exception:{'message': '(1064, "You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near \'%s \\n        ORDER BY task_code DESC\\n        LIMIT 1\' at line 3")'}
2024-10-07 12:17:39.593 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.task_table\' doesn\'t exist")'}
2024-10-07 12:17:51.079 ERROR json_response.py json_response - response_exception:{'message': '(1054, "Unknown column \'task_code\' in \'field list\'")'}
2024-10-07 12:18:18.130 ERROR json_response.py json_response - response_exception:{'message': 'list index out of range'}
2024-10-07 12:20:47.166 ERROR json_response.py json_response - response_exception:{'message': "'project_code'"}
2024-10-07 12:26:17.221 ERROR json_response.py json_response - response_exception:{'message': '(1064, "You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near \'project_code\': \'P1\'}T1\',\'08e102fe-6591-4bb1-83a0-eda46559af86\',\'descriptions ...\' at line 1")'}
2024-10-07 12:29:36.328 ERROR json_response.py json_response - response_exception:{'message': 'search_all() takes 1 positional argument but 2 were given'}
2024-10-07 12:30:11.637 ERROR json_response.py json_response - response_exception:{'message': '(1064, "You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near \'project_code\': \'P1\'}T1\',\'08e102fe-6591-4bb1-83a0-eda46559af86\',\'descriptions ...\' at line 1")'}
2024-10-07 12:41:12.644 ERROR json_response.py json_response - response_exception:{'message': "invalid literal for int() with base 10: 'o2'"}
2024-10-07 12:42:13.152 ERROR json_response.py json_response - response_exception:{'message': "invalid literal for int() with base 10: 'o1'"}
2024-10-07 12:51:02.687 ERROR json_response.py json_response - response_exception:{'message': "generate_task_code() missing 1 required positional argument: 'project_type'"}
2024-10-07 14:42:54.323 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:42:54.382 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:42:54.447 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:42:54.516 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:42:54.868 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:44:50.274 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:44:50.332 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:44:50.396 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:44:50.461 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:44:51.155 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:45:00.459 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:45:10.746 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:50:42.905 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
2024-10-07 14:50:43.000 ERROR json_response.py json_response - response_exception:{'message': '(1146, "Table \'internal_task_management.work_order_table\' doesn\'t exist")'}
